Child,Parent
Lateral division of distal band of medial plantar intermuscular septum,Subdivision of distal band of medial plantar intermuscular septum
Midbrain segment of tectospinal tract,Segment of tectospinal tract
L4 posterior division of left lumbar plexus,L4 posterior division of lumbar plexus
Ligament of head of rib,Skeletal ligament
Periosteum of left posterolateral part of body of seventh cervical vertebra,Periosteum of posterolateral part of body of seventh cervical vertebra
Cavity of distal phalanx of right little finger,Cavity of distal phalanx of little finger
Cavity of middle phalanx of left little finger,Cavity of middle phalanx of little finger
Cavity of distal phalanx of left little finger,Cavity of distal phalanx of little finger
Cavity of proximal phalanx of right second toe,Cavity of proximal phalanx of second toe
Cavity of proximal phalanx of left second toe,Cavity of proximal phalanx of second toe
Submucosa of trigone of urinary bladder,Submucosa of zone of urinary bladder
Ependyma proper of right lateral ventricle,Ependyma proper of lateral ventricle
Ependyma of region of ventricular system of neuraxis,Tissue component of epithelium
Vasculature of bony part of third cervical vertebra,Vasculature of bony part of cervical vertebra
Ependyma proper of lateral ventricle,Ependyma proper
Ependyma of neuraxis,Ecto-epithelium
Trunk of superficial palmar branch of radial artery,Trunk of branch of radial artery
Compact bone of proximal epiphysis of middle phalanx of middle finger,Compact bone of proximal epiphysis of phalanx of middle finger
Trunk of fifth cervical nerve,Trunk of cervical nerve
Trunk of sixth cervical nerve,Trunk of cervical nerve
Trunk of right first cervical nerve,Trunk of first cervical nerve
Trunk of second cervical nerve,Trunk of cervical nerve
Trunk of coccygeal nerve,Trunk of spinal nerve
Trunk of third cervical nerve,Trunk of cervical nerve
Trunk of sacral nerve,Trunk of spinal nerve
Trunk of left first cervical nerve,Trunk of first cervical nerve
Trunk of first cervical nerve,Trunk of cervical nerve
Trunk of fourth cervical nerve,Trunk of cervical nerve
Nerve to right inferior rectus,Nerve to inferior rectus
Set of four surfaces of tooth,Set of tooth surfaces
Left anterior deep temporal nerve,Anterior deep temporal nerve
Lumen of subsegmental bronchus of right lung,Lumen of subsegmental bronchus
Lateral branch of posterior ramus of right eighth thoracic nerve to right longissimus thoracis,Lateral branch of posterior ramus of eighth thoracic nerve to longissimus thoracis
Diaphragma sellae,Subdivision of cranial dura mater
Trunk of left fourth anterior intercostal vein,Trunk of fourth anterior intercostal vein
Wall of right lateral semicircular duct,Wall of lateral semicircular duct
Muscle layer of efferent ductule of left testis,Muscle layer of efferent ductule of testis
Transverse cervical artery,Subdivision of thyrocervical artery
Tarsal gland of upper eyelid,Tarsal gland
Compact bone of posterolateral part of body of twelfth thoracic vertebra,Compact bone of posterolateral part of body of thoracic vertebra
Buccal surface of left first lower molar tooth,Buccal surface of first lower molar tooth
Occlusal surface of right second upper molar tooth,Occlusal surface of second upper molar tooth
Occlusal surface of left second upper molar tooth,Occlusal surface of second upper molar tooth
Buccal surface of right first lower molar tooth,Buccal surface of first lower molar tooth
Buccal surface of first lower molar tooth,Region of surface of first lower molar tooth
Belly of superficial head of right flexor pollicis brevis,Belly of superficial head of flexor pollicis brevis
Articular branch of subcostal nerve,Branch of intercostal nerve
Trabecular bone of distal epiphysis of distal phalanx of left index finger,Trabecular bone of distal epiphysis of distal phalanx of index finger
C3 segment,Cervical subsegment of spinal cord
Muscle fasciculus of right tibialis posterior,Muscle fasciculus of tibialis posterior
Gluteal tributary of left inferior rectal vein,Gluteal tributary of inferior rectal vein
Gingiva proper,Deprecated term
Compact bone of right trapezium,Compact bone of trapezium
Surface of left inferior articular process proper of lumbar vertebra,Surface of inferior articular process proper of lumbar vertebra
Zone of soleus,Zone of muscle organ of lower limb
Trunk of maxillary artery,Trunk of branch of external carotid artery
Cartilage of right ischium,Cartilage of ischium
Right central retinal vein,Central retinal vein
Cavity of vitreous chamber of right eyeball,Cavity of vitreous chamber of eyeball
Parietal pelvic peritoneum,Region of pelvic peritoneum
Fibrous sheath,General anatomical term
Left tectospinal tract of spinal cord,Tectospinal tract of spinal cord
Distal epiphysis of middle phalanx of right fourth toe,Distal epiphysis of middle phalanx of fourth toe
Subdivision of proximal surface of medial cuneiform bone,Subdivision of surface of medial cuneiform bone
Skin of shoulder,Segment of skin of upper limb
Descending branch of meningeal branch of twelfth thoracic nerve,Descending branch of meningeal branch of thoracic nerve
Crown of second upper molar tooth,Crown of molar tooth
Lumen of descending aorta,Lumen of segment of aorta
Muscularis mucosae of cervical part of esophagus,Muscularis mucosae of segment of esophagus
Perimysium of lateral crico-arytenoid,Fascia of lateral crico-arytenoid
Right seventh anterior cervical intertransversarius,Seventh anterior cervical intertransversarius
Superficial layer of myocardium of atrium,Outer muscle layer of organ region
Mucosa of palatoglossal arch,Mucosa of region of mouth
Cricoid articular surface of arytenoid cartilage,Region of surface of arytenoid cartilage
Vocal process of left arytenoid cartilage,Vocal process of arytenoid cartilage
Left pedicle of fourth thoracic vertebra,Pedicle of fourth thoracic vertebra
Surface of right sustentaculum tali,Surface of sustentaculum tali
Intraglandular lymph node,Deep parotid lymph node
Left subclavian triangle,Subclavian triangle
Root pulp of right third upper molar tooth,Root pulp of third upper molar tooth
Dorsal ligament of left second carpometacarpal joint,Dorsal ligament of second carpometacarpal joint
Periosteum of spinous process of second thoracic vertebra,Periosteum of spinous process of thoracic vertebra
Fibrous membrane of articular capsule of proximal interphalangeal joint of right index finger,Fibrous membrane of articular capsule of proximal interphalangeal joint of index finger
Hydrophilic end of structural lipid molecule,Biological macromolecule
Fifth external intercostal muscle proper,External intercostal muscle proper
Bony part of epiphysis of humerus,Bony part of zone of humerus
Surface of horizontal plate of left palatine bone,Surface of horizontal plate of palatine bone
Trunk of nerve to right rectus capitis lateralis,Trunk of nerve to rectus capitis lateralis
Plica semilunaris of conjunctiva,Region of conjunctiva
Left tenth anterior thoracic radicular vein,Left tenth thoracic radicular vein
CD19+ B lymphocyte,B lymphocyte
Muscle fasciculus of right sartorius,Muscle fasciculus of sartorius
Mucosa of pharynx,Region of viscerocranial mucosa
Epicondyle of humerus,Zone of distal epiphysis of humerus
Periosteum of left superior articular process of second lumbar vertebra,Periosteum of superior articular process of second lumbar vertebra
Coccygeal region of back,Subdivision of back
Central carpal bone,Carpal bone
Cerebellar nucleus,Nucleus of brain
Ulnar collateral ligament of distal interphalangeal joint of finger,Ulnar collateral ligament of interphalangeal joint of finger
Medial meniscotibial ligament,Meniscotibial ligament
Sacral region of central canal of spinal cord,Region of central canal of spinal cord
Ulnar collateral ligament of metacarpophalangeal joint of thumb,Ulnar collateral ligament of metacarpophalangeal joint
Ulnar collateral ligament of distal interphalangeal joint of index finger,Ulnar collateral ligament of distal interphalangeal joint of finger
Ulnar collateral ligament of proximal interphalangeal joint of finger,Ulnar collateral ligament of interphalangeal joint of finger
T2 part of internal vertebral venous plexus,Internal vertebral venous plexus of thoracic vertebra
Proximal nail fold of left third toe,Proximal nail fold of third toe
Coccygeus part of left inferior gluteal artery,Coccygeus part of inferior gluteal artery
Articular facet of inferior articular process of fifth cervical vertebra,Articular facet of inferior articular process of cervical vertebra
Brodmann area 18 of left parahippocampal gyrus,Brodmann area 18 of parahippocampal gyrus
Brodmann area 30 of cuneus,Segment of Brodmann area 30
Brodmann area 30 of right cuneus,Brodmann area 30 of cuneus
Brodmann area 30 of left cuneus,Brodmann area 30 of cuneus
Brodmann area 41 of superior temporal gyrus,Segment of Brodmann area 41
Midbrain segment of corticospinal tract,Segment of corticospinal tract of brain
Articular cartilage of superior articular process of eleventh thoracic vertebra,Articular cartilage of superior articular process of thoracic vertebra
Midbrain segment of right corticospinal tract,Midbrain segment of corticospinal tract
Midbrain segment of left corticospinal tract,Midbrain segment of corticospinal tract
Pontine segment of right corticospinal tract,Pontine segment of corticospinal tract
Pontine segment of corticospinal tract,Segment of corticospinal tract of brain
Retina,Layer of wall of eyeball
CD9+ lymphocyte,Lymphocyte
Special somatic afferent nerve fiber,Somatic afferent nerve fiber
Crus of clitoris,Zone of corpus cavernosum of clitoris
Proximal epiphysis of right third metacarpal bone,Proximal epiphysis of third metacarpal bone
Right oral commissure,Oral commissure
Internal surface of lower lip,Internal surface of lip
Left oral commissure,Oral commissure
Sternal part of right pectoralis major,Sternal part of pectoralis major
Periosteum of diaphysis,Periosteum of zone of long bone
T7 left anterior wall of left ventricle,T7 zone of wall of left ventricle
Left parietal emissary vein,Parietal emissary vein
Right sixth anterior thoracic radicular vein,Right sixth thoracic radicular vein
Trunk of dental branch of posterior superior alveolar artery,Trunk of branch of posterior superior alveolar artery
Muscle fasciculus of right adductor hallucis,Muscle fasciculus of adductor hallucis
C7 branch to multifidus,Muscular branch of medial branch of posterior ramus of seventh cervical nerve
Long head of right triceps brachii,Long head of triceps brachii
Proximal interphalangeal joint of right little toe,Proximal interphalangeal joint of little toe
L2 branch to right multifidus,L2 branch to multifidus
Vasculature of bony part of left fibula,Vasculature of bony part of fibula
Vasculature of bony part of right fibula,Vasculature of bony part of fibula
Vasculature of bony part of fibula,Vasculature of bony part of long bone
Vasculature of left fibula,Vasculature of fibula
Vasculature of right fibula,Vasculature of fibula
Diverticulum of right seminal vesicle,Diverticulum of seminal vesicle
Investing fascia of right pectoral girdle,Investing fascia of pectoral girdle
Surface of phalanx of middle finger,Surface of phalanx of hand
Left inferior central retinal artery,Inferior central retinal artery
Longitudinal muscle layer of appendix,Outer muscle layer of organ
Set of inferior lobar arteries of right lung,Set of arteries
Sweat of palm,Portion of sweat
Surface of right superior articular process of fifth cervical vertebra,Surface of superior articular process of fifth cervical vertebra
Brodmann area 10 of right inferior frontal gyrus,Brodmann area 10 of inferior frontal gyrus
Brodmann area 45 of inferior frontal gyrus,Segment of Brodmann area 45
Brodmann area 10 of left inferior frontal gyrus,Brodmann area 10 of inferior frontal gyrus
Brodmann area 45 of right inferior frontal gyrus,Brodmann area 45 of inferior frontal gyrus
Brodmann area 45 of left inferior frontal gyrus,Brodmann area 45 of inferior frontal gyrus
Transverse band of left elbow joint,Transverse band of elbow joint
Right mylohyoid groove,Mylohyoid groove
Set of C5-C8 roots of brachial nerve plexus,Set of roots of brachial nerve plexus
First coccygeal vertebra,Coccygeal vertebra
T3 symphysis segment of posterior longitudinal ligament,Thoracic vertebral segment of posterior longitudinal ligament
Head of left hippocampus,Head of hippocampus
Tail of right hippocampus,Tail of hippocampus
Limbic gyrus,Gyrus of limbic lobe
Tail of hippocampus,Segment of hippocampus
Tail of left hippocampus,Tail of hippocampus
Right posterior basal segmental bronchial artery,Posterior basal segmental bronchial artery
Surface of third lumbar vertebra,Surface of lumbar vertebra
Segment of root of suprascapular nerve,Segment of root of peripheral nerve
Segment of root of subclavian nerve,Segment of root of peripheral nerve
Segment of root of long thoracic nerve,Segment of root of peripheral nerve
Segment of root of lateral femoral cutaneous nerve,Segment of root of peripheral nerve
Zygomatico-orbital foramen,Cranial conduit
Right deep middle cerebral vein proper,Deep middle cerebral vein proper
Right submandibular gland,Submandibular gland
Cartilage of right inferior surface of posterolateral part of body of fifth thoracic vertebra,Cartilage of inferior surface of posterolateral part of body of fifth thoracic vertebra
Mandibular part of masseter,Zone of masseter
Mandibular part of left masseter,Mandibular part of masseter
Mandibular part of right masseter,Mandibular part of masseter
Zone of masseter,Zone of muscle of head
Metacarpophalangeal joint of middle finger,Metacarpophalangeal joint
Tunica media of cisterna chyli,Tunica media of segment of thoracic duct
Bone of humerus,Bone tissue of long bone
Tunica media of arch of thoracic duct,Tunica media of segment of thoracic duct
Tunica media of descending thoracic duct,Tunica media of segment of thoracic duct
Tunica media of abdominal part of thoracic duct,Tunica media of segment of thoracic duct
Perimysium of abductor digiti minimi of left foot,Perimysium of abductor digiti minimi of foot
Posterior belly of fetal digastric muscle,Organ part of fetal digastric muscle
Cavity of vitreous chamber of eyeball,Subdivision of cavity of eyeball
Subdivision of vestibule of vagina,Anatomical cavity
Trunk of branch of descending branch of occipital artery,Trunk of branch of occipital artery
Tendon of extensor pollicis brevis,Tendon
Region of wall of ileum,Region of wall of small intestine
Left ninth thoracic rotator,Ninth thoracic rotator
Lumen of duct of left seminal vesicle,Lumen of duct of seminal vesicle
Trunk of posterior auricular nerve,Trunk of branch of facial nerve
Superficial fascia of lobule of pinna,Zone of superficial fascia of external ear
Mucosa of segment of colon,Mucosa of segment of large intestine
Musculature of left hand,Musculature of hand
Periosteum of diaphysis of proximal phalanx of left thumb,Periosteum of diaphysis of proximal phalanx of thumb
Trunk of mons pubis branch of genital branch of genitofemoral nerve,Trunk of genital branch of genitofemoral nerve
Left external capsule,External capsule
Mitochondrial matrix proper,Subdivision of mitochondrial matrix
Distal zone of thigh,Region of thigh
Right thigh proper,Thigh proper
Thigh proper,Region of thigh
Right T10-T11 vertebral arch joint,T10-T11 vertebral arch joint
Left thigh proper,Thigh proper
Knee part of right thigh,Distal zone of thigh
Distal zone of left pectoralis major,Distal zone of pectoralis major
Bony part of articular process of lumbar vertebra,Bony part of articular process of vertebra
Distal zone of pectoralis major,Distal zone of muscle organ
Distal zone of right pectoralis major,Distal zone of pectoralis major
Muscle body of serratus posterior,Skeletal muscle body
Central precommissural nucleus,Nucleus of brain
Set of common iliac lymphatic vessels,Set of lymphatic vessels
Anatomical neck of right humerus,Anatomical neck of humerus
Retro-aortic lymph node group,Parietal lymph node group of abdomen proper
Set of retro-aortic lymphatic vessels,Set of lymphatic vessels
Perimysium of left incisivus labii superioris,Perimysium of incisivus labii superioris
Metaphysis of fifth metatarsal bone,Metaphysis of metatarsal bone
Saccule of left membranous labyrinth,Saccule of membranous labyrinth
Right jugular lymphatic chain,Jugular lymphatic chain
Left jugular lymphatic chain,Jugular lymphatic chain
Set of left jugular lymph nodes,Set of jugular lymph nodes
Set of right jugular lymph nodes,Set of jugular lymph nodes
Set of jugular lymphatic vessels,Set of all lymphatic vessels of face
Lobule of accessory parotid gland,Lobule
Infratrochlear nerve,Branch of nasociliary nerve
Costal tributary of second posterior intercostal vein,Costal tributary of posterior intercostal vein
Trunk of lateral dorsal digital nerve of right big toe,Trunk of lateral dorsal digital nerve of big toe
Wall of superior lingular subsegmental bronchus,Wall of subsegmental bronchus
External longitudinal muscle layer of uterine tube,Subdivision of muscle layer of uterine tube
Left gastric lymphatic vessel,Gastric lymphatic vessel
Retroperitoneal lymphatic vessel,Parietal abdominal lymphatic vessel
Visceral abdominal lymphatic vessel,Lymphatic vessel of abdomen proper
Paracardial lymphatic vessel,Gastric lymphatic vessel
Right gastro-epiploic lymphatic vessel,Gastric lymphatic vessel
Luminal,Anatomical coordinate
Left angular artery,Angular artery
Left pedicle of first thoracic vertebra,Pedicle of first thoracic vertebra
Set of minor sublingual ducts,Set of ducts
Spongiose part of penile bulb artery,Subdivision of penile bulb artery
Crown proper of right lower first premolar tooth,Crown proper of lower first premolar tooth
Right anterior medial malleolar artery,Anterior medial malleolar artery
Right brachioradialis,Brachioradialis
Zone of transversus abdominis,Zone of muscle organ
Trabecular bone of left articular process of first lumbar vertebra,Trabecular bone of articular process of first lumbar vertebra
Left femoral vein,Femoral vein
Intertubercular plane,Anatomical transverse plane
Zone of cricoid cartilage,Organ zone
Right interosseous intercarpal ligament,Interosseous intercarpal ligament
Interleukin-12,Interleukin
Sixth internal intercostal muscle proper,Internal intercostal muscle proper
P5 peroxisome,Peroxisome
Investing fascia of left latissimus dorsi,Investing fascia of latissimus dorsi
Bony part of left transverse process of fifth thoracic vertebra,Bony part of transverse process of fifth thoracic vertebra
Anterior investing fascia of right teres major,Anterior investing fascia of teres major
Anterior investing fascia of left teres major,Anterior investing fascia of teres major
Anterior investing fascia of teres major,Zone of investing fascia of teres major
Zone of investing fascia of teres major,Zone of investing fascia of pectoral girdle
External surface of right renal pelvis,External surface of renal pelvis
Trunk of nerve to longus capitis,Trunk of deep muscular medial branch of cervical nerve plexus
Distal metaphysis of distal phalanx of left thumb,Distal metaphysis of distal phalanx of thumb
Distal metaphysis of middle phalanx of right index finger,Distal metaphysis of middle phalanx of index finger
Distal metaphysis of proximal phalanx of left index finger,Distal metaphysis of proximal phalanx of index finger
Distal metaphysis of distal phalanx of right thumb,Distal metaphysis of distal phalanx of thumb
Distal metaphysis of proximal phalanx of right index finger,Distal metaphysis of proximal phalanx of index finger
Lower outer quadrant of female breast,Lower outer quadrant of breast
Belly of third plantar interosseous of right foot,Belly of third plantar interosseous of foot
Anteromedial surface of diaphysis of fifth metacarpal bone,Anteromedial surface of diaphysis of metacarpal bone
Nasal muscle,Muscle of face
Anatomical confluence,Zone of continuity
Set of reticular nuclei of pontine tegmentum,Set of nuclei of neuraxis
Gastric branch of vagus nerve,Branch of vagus nerve
Set of deep extrinsic muscles of right shoulder,Set of deep extrinsic muscles of shoulder
Region of surface of clavicle,Region of surface of long bone
Meningeal branch of right eighth thoracic nerve,Meningeal branch of eighth thoracic nerve
Mucosa of subsegmental bronchus,Mucosa of intrapulmonary bronchus
Elastin,Fibrous protein
Articular cartilage of radial notch of right ulna,Articular cartilage of radial notch of ulna
C2 pulley of little finger,Cruciform pulley of fibrous tendon sheath of little finger
T4 branch to left spinalis capitis,T4 branch to spinalis capitis
Pleura of costal surface of left posterior basal bronchopulmonary segment,Pleura of costal surface of posterior basal bronchopulmonary segment
Posterior part of left forearm,Posterior part of forearm
Synovial fluid of atlanto-occipital joint,Synovial fluid of cervical vertebral arch joint
Longitudinal sulcus of right insula,Longitudinal sulcus of insula
Right posterior subcentral sulcus,Posterior subcentral sulcus
Left central insular sulcus,Central insular sulcus
Left posterior subcentral sulcus,Posterior subcentral sulcus
Right central insular sulcus,Central insular sulcus
Space of anterior triangle of neck,Space of compartment of neck
Bone of proximal epiphysis of middle phalanx of little finger,Bone of proximal epiphysis of phalanx of little finger
Surface of left inferior articular process proper of seventh cervical vertebra,Surface of inferior articular process proper of seventh cervical vertebra
Distal region of muscle body of left sartorius,Distal region of muscle body of sartorius
Distal region of muscle body of right sartorius,Distal region of muscle body of sartorius
Distal region of muscle body of right gracilis,Distal region of muscle body of gracilis
Distal region of muscle body of gracilis,Distal region of muscle body
Left lateral surface of body of third cervical vertebra,Lateral surface of body of third cervical vertebra
Cartilage of superior surface of central part of body of first lumbar vertebra,Cartilage of superior surface of central part of body of lumbar vertebra
Medial cutaneous branch of medial branch of posterior ramus of left ninth thoracic nerve,Medial cutaneous branch of medial branch of posterior ramus of ninth thoracic nerve
Peritoneum over subdivision of kidney,Region of parietal peritoneum
Long head of right biceps brachii,Long head of biceps brachii
Surface of lateral part of chest,Surface of subdivision of thorax
Trabecular bone of transverse process of ninth thoracic vertebra,Trabecular bone of transverse process of thoracic vertebra
Cavity of Golgi vesicle,Cell cavity
T3 branch to left splenius capitis,T3 branch to splenius capitis
Musculoskeletal system of middle finger,Musculoskeletal system of finger
Posterior superior pancreaticoduodenal vein,Superior pancreaticoduodenal vein
Stroma of right ovarian cortex,Stroma of ovarian cortex
Arcuate pulley of fibrous tendon sheath of index finger,Arcuate pulley of fibrous tendon sheath of finger
Lumen of venous tree organ,Organ cavity
Right pedicle of seventh thoracic vertebra,Pedicle of seventh thoracic vertebra
Trabecular bone of acromial end of left clavicle,Trabecular bone of acromial end of clavicle
Median nerve component of dorsal root of C8 nerve,Segment of medial root of median nerve
Median nerve component of dorsal root of left C8 nerve,Median nerve component of dorsal root of C8 nerve
Median nerve component of ventral root of T1 right nerve,Median nerve component of ventral root of T1 nerve
Median nerve component of ventral root of T1 nerve,Segment of medial root of median nerve
Median nerve component of dorsal root of right C8 nerve,Median nerve component of dorsal root of C8 nerve
Cutaneous perineal part of left deep external pudendal artery,Cutaneous perineal part of deep external pudendal artery
Surface of distal third of calcaneus,Subdivision of surface of calcaneus
Non-articular medial surface of lateral cuneiform bone,Subdivision of medial surface of lateral cuneiform bone
Set of peroneal veins,Set of systemic veins
Trunk of inferior part of right lateral sacral artery,Trunk of inferior part of lateral sacral artery
Medial branch of posterior ramus of second sacral nerve,Medial branch of posterior ramus of sacral nerve
Trunk of anal division of transverse part of perineal artery,Trunk of branch of transverse part of perineal artery
S1 part of internal vertebral venous plexus,Internal vertebral venous plexus of sacral vertebra
Lateral nail fold of index finger,Lateral nail fold of finger
C8 branch to right longissimus cervicis,C8 branch to longissimus cervicis
Compact bone of spinous process of third cervical vertebra,Compact bone of third cervical vertebra
Surface of right temporal lobe,Surface of temporal lobe
Surface of left parietal lobe,Surface of parietal lobe
Surface of right parietal lobe,Surface of parietal lobe
Surface of left temporal lobe,Surface of temporal lobe
Surface of temporal lobe,Surface of cerebral lobe
Left superior pharyngeal constrictor,Superior pharyngeal constrictor
Right lumbosacral trunk,Lumbosacral trunk
Posterior surface of arytenoid,Surface of cartilage
Petrotympanic fissure,Anatomical line of skull
Pectineus branch of obturator nerve,Variant anatomical structure
Proximal metaphysis of left ulna,Proximal metaphysis of ulna
Lymphatic tree of foot proper,Lymphatic tree of subdivision of foot
Lymphatic tree of left foot proper,Lymphatic tree of foot proper
Subdivision of lymphatic tree of foot proper,Lymphatic tree of subdivision of foot
Lymphatic tree of left little toe,Lymphatic tree of little toe
Lymphatic tree of right foot proper,Lymphatic tree of foot proper
Subcallosal fasciculus,Long cerebral association nerve fasciculus
Lateral part of medial mammillary nucleus,Subdivision of medial mammillary nucleus
Taenia mesocolica of sigmoid colon,Taenia coli of sigmoid colon
Superior costotransverse ligament of left ninth costotransverse joint,Superior costotransverse ligament of ninth costotransverse joint
Upper branch of left internal laryngeal nerve to laryngeal vestibule,Upper branch of internal laryngeal nerve to laryngeal vestibule
Left trigeminal ganglion,Trigeminal ganglion
Perimysium of soleus,Fascia of soleus
Left eighth external intercostal membrane,Eighth external intercostal membrane
Trunk of left suprascapular artery,Trunk of suprascapular artery
Branch of left lateral pectoral nerve to sternocostal part of left pectoralis major,Branch of lateral pectoral nerve to sternocostal part of pectoralis major
Set of posterior divisions of brachial plexus,Set of nerves
Trunk of left middle temporal artery,Trunk of middle temporal artery
Bony part of body of twelfth thoracic vertebra,Bony part of body of thoracic vertebra
Head of right subscapularis,Head of subscapularis
Head of left teres major,Head of teres major
Head of subscapularis,Proximal zone of muscle organ
Head of left subscapularis,Head of subscapularis
Biceps branch of right brachial artery,Biceps branch of brachial artery
Perimysium of depressor supercilii,Fascia of depressor supercilii
Penile branch of anterior scrotal nerve,Scrotal branch of ilioinguinal nerve
Right extrapulmonary vein,Extrapulmonary vein
Synovial cavity of knee joint,Synovial cavity of joint
Perimysium of first lumbrical of left foot,Perimysium of first lumbrical of foot
Sutural bone,Flat bone
Muscular branch of posterior auricular artery,Branch of posterior auricular artery
Trabecular bone of right talus,Trabecular bone of talus
Meningeal branch of left second cervical nerve,Meningeal branch of second cervical nerve
Lumen of middle lobe part of right bronchial tree,Lumen of lobar bronchial tree
Articular capsule of acromioclavicular joint,Articular capsule
Cavity of fourth rib,Cavity of rib
Cavity of seventh rib,Cavity of rib
Cavity of sixth rib,Cavity of rib
Cavity of fifth rib,Cavity of rib
Cavity of eighth rib,Cavity of rib
Trunk of muscular part of left internal pudendal artery,Trunk of muscular part of internal pudendal artery
Serous pericardium of superior vena cava,Region of serous pericardium
Right corrugator supercilii,Corrugator supercilii
Anterior surface of body of first lumbar vertebra,Anterior surface of body of lumbar vertebra
Surface of pelvic part of ureter,Surface of region of ureter
Musculature of left arm,Musculature of arm
Left lateral parietal serous pericardium,Lateral parietal serous pericardium
Mucus granule,Secretory granule
Zone of suspensory ligament of duodenum,Zone of dense endoabdominal fascia
Lateral branch of posterior ramus of left twelfth thoracic nerve to left longissimus thoracis,Lateral branch of posterior ramus of twelfth thoracic nerve to longissimus thoracis
Alpha motor neuron,Motor neuron
Trunk of communicating branch of right cervical nerve plexus with right vagus nerve,Trunk of communicating branch of cervical nerve plexus with vagus nerve
Lobe of left submandibular gland,Lobe of submandibular gland
Periosteum of diaphysis proper of left fifth metatarsal bone,Periosteum of diaphysis proper of fifth metatarsal bone
Clavicular part of right deltoid,Clavicular part of deltoid
Articular cartilage of right articular process of first thoracic vertebra,Articular cartilage of articular process of first thoracic vertebra
T12 root of right iliohypogastric nerve,T12 root of iliohypogastric nerve
T12 root of left iliohypogastric nerve,T12 root of iliohypogastric nerve
L1 root of iliohypogastric nerve,Root of iliohypogastric nerve
L1 root of right iliohypogastric nerve,L1 root of iliohypogastric nerve
T12 root of iliohypogastric nerve,Root of iliohypogastric nerve
Muscle body of left superior rectus,Muscle body of superior rectus
Muscle body of right superior rectus,Muscle body of superior rectus
Muscle body of superior rectus,Muscle body of muscle of head
Muscle body of pyramidal muscle of left auricle,Muscle body of pyramidal muscle of auricle
Muscle body of inferior rectus,Muscle body of pyramidal muscle of auricle
Wall of posterior segment of eyeball,Region of wall of eyeball
Deep fascia of right shoulder,Deep fascia of shoulder
Perimysium of left musculus uvulae,Perimysium of musculus uvulae
Trunk of scrotal branch of right superficial external pudendal artery,Trunk of scrotal branch of superficial external pudendal artery
Lateral cutaneous branch of ventral branch of right fourth lumbar artery,Lateral cutaneous branch of ventral branch of fourth lumbar artery
Segment of diencephalon,Segment of forebrain
Arch of left pulmonary artery,Subdivision of trunk of left pulmonary artery
Region of cervical fascia,Region of organ component
Mucosa of common bile duct,Mucosa of segment of biliary tree
Skin of pre-auricular part of right cheek,Skin of pre-auricular part of cheek
Right inferior nasal concha,Inferior nasal concha
Trunk of anterior branch of right medial femoral cutaneous nerve,Trunk of anterior branch of medial femoral cutaneous nerve
Interlobar pleura of right anterior basal bronchopulmonary segment,Interlobar pleura of anterior basal bronchopulmonary segment
External surface of right upper lip proper,Surface of right upper lip proper
Surface of right upper lip proper,Region of surface of upper lip
Surface of left upper lip proper,Region of surface of upper lip
External surface of left upper lip proper,Surface of left upper lip proper
Internal surface of right upper lip proper,Surface of right upper lip proper
T4 segment of anterior longitudinal ligament,Thoracic vertebral segment of anterior longitudinal ligament
Right gyrus descendens of Ecker,Gyrus descendens of Ecker
Medial segment of left parietal lobe,Medial segment of parietal lobe
Gyrus descendens of Ecker,Gyrus of occipital lobe
Fascia of fourth lumbrical of hand,Fascia of lumbrical of hand
Trunk of scrotal part of left deep external pudendal artery,Trunk of scrotal part of deep external pudendal artery
Capsule of right fourth costotransverse joint,Capsule of fourth costotransverse joint
Surface of squamous part of temporal bone,Surface of zone of temporal bone
Serosa of duodenal ampulla,Serosa of zone of duodenum
Fetal frontomaxillary suture,Fetal suture
Parenchyma of left adrenal gland,Parenchyma of adrenal gland
Frontal part of aponeurosis of epicranius,Subdivision of aponeurosis of epicranius
Globose cell of olfactory epithelium,Basal cell of olfactory epithelium
Reticular lamina,Acellular membrane
Lateral surface of left ramus of mandible,Lateral surface of ramus of mandible
Periosteum of lesser trochanter of femur,Periosteum of subdivision of femur
Surface of subdivision of neck,Surface of subdivision of cardinal body part
Posterior border of right lower lobe,Posterior border of lower lobe of lung
Third dorsal metacarpal vein,Dorsal metacarpal vein
Trunk of right third dorsal metatarsal artery,Trunk of third dorsal metatarsal artery
T3 branch to spinalis capitis,Muscular branch of medial branch of posterior ramus of third thoracic nerve
T4 level,Thoracic vertebral level
Space of fundus of left internal acoustic meatus,Space of fundus of internal acoustic meatus
Periosteum of left transverse process of fifth lumbar vertebra,Periosteum of transverse process of fifth lumbar vertebra
Right greater palatine canal,Greater palatine canal
Right lesser palatine foramen,Lesser palatine foramen
Left lesser palatine foramen,Lesser palatine foramen
Space of greater palatine canal,Cranial conduit space
Space of fundus of right internal acoustic meatus,Space of fundus of internal acoustic meatus
Left greater palatine canal,Greater palatine canal
Space of geniculum of left facial canal,Space of geniculum of facial canal
Space of geniculum of right facial canal,Space of geniculum of facial canal
Space of right greater palatine canal,Space of greater palatine canal
Trunk of right basilic vein,Trunk of basilic vein
Periosteum of left pedicle of axis,Periosteum of pedicle of axis
Region of ganglion,Region of organ component
Lymphatic chain of posterior basal segmental bronchus,Lymphatic chain of basal segmental bronchus
Neural network of thumb,Neural network of finger
Medial surface proper of left calcaneus,Medial surface proper of calcaneus
