Child,Parent
Epithelium of subsegmental bronchus,Epithelium of bronchus
Cartilage of superior surface of posterolateral part of body of eighth thoracic vertebra,Cartilage of superior surface of posterolateral part of body of thoracic vertebra
Lateral part of lateral basal segmental vein,Subsegmental part of lateral basal segmental vein
Intrasegmental tributary of right medial basal segmental vein,Intrasegmental tributary of medial basal segmental vein
Right medial basal segmental vein,Medial basal segmental vein
Intrasegmental tributary of right medial segmental vein,Intrasegmental pulmonary vein
Right lateral basal segmental vein,Lateral basal segmental vein
Right posterior basal segmental vein,Posterior basal segmental vein
Subsegmental part of medial segmental vein,Subsegmental pulmonary vein
Intersegmental tributary of right medial basal segmental vein,Subsegmental part of medial basal segmental vein
Intrasegmental tributary of right lateral basal segmental vein,Intrasegmental tributary of lateral basal segmental vein
Intrasegmental tributary of right posterior basal segmental vein,Intrasegmental tributary of posterior basal segmental vein
Cell appendage,Cell segment
Nerve to vertical muscle of tongue,Intrinsic lingual muscle branch of hypoglossal nerve
Right eleventh anterior intercostal artery,Eleventh anterior intercostal artery
External longitudinal muscle layer of isthmus of left uterine tube,External longitudinal muscle layer of isthmus of uterine tube
Chin,Subdivision of mouth
Left superior articular process of first thoracic vertebra,Superior articular process of first thoracic vertebra
Intervertebral tributary of third lumbar vein,Intervertebral tributary of lumbar vein
Trunk of sixth anterior intercostal vein,Trunk of anterior intercostal vein
Medial antebrachial cutaneous nerve component of trunk of right eighth cervical nerve,Medial antebrachial cutaneous nerve component of trunk of eighth cervical nerve
Medial antebrachial cutaneous nerve component of posterior root of right eighth cervical nerve,Medial antebrachial cutaneous nerve component of posterior root of eighth cervical nerve
Surface of superior articular process proper of cervical vertebra,Surface of superior articular process proper of vertebra
Medial antebrachial cutaneous nerve component of trunk of left eighth cervical nerve,Medial antebrachial cutaneous nerve component of trunk of eighth cervical nerve
Medial antebrachial cutaneous nerve component of posterior root of left eighth cervical nerve,Medial antebrachial cutaneous nerve component of posterior root of eighth cervical nerve
Medial antebrachial cutaneous nerve component of posterior root of eighth cervical nerve,Segment of C8 root of medial antebrachial cutaneous nerve
Mental part proper of base of mandible,Zone of body of mandible
Skin of lateral part of thumb,Skin of lateral part of finger
Skin of medial part of lower limb,Segment of skin of lower limb
Major histocompatibility complex protein,Single-pass plasma transmembrane protein
Left lateral sacral vein,Lateral sacral vein
Descending branch of meningeal branch of fourth lumbar nerve,Descending branch of meningeal branch of lumbar nerve
Right masseteric nerve proper,Masseteric nerve proper
Bony part of inferior articular process of fourth cervical vertebra,Bony part of inferior articular process of cervical vertebra
Cardinal body part of embryo,Cardinal subdivision of developmental organism
Genital tubercle,Subdivision of cardinal body part of embryo
Facial mesenchyme,Embryonic mesenchyme
Episcleral artery,Branch of muscular branch of ophthalmic artery
Crown pulp of right lower canine tooth,Crown pulp of lower canine tooth
Medial head of second dorsal interosseous of foot,Head of second dorsal interosseous of foot
Submucosa of pyloric canal,Submucosa of zone of stomach
L4 root of left obturator nerve,L4 root of obturator nerve
Uterine artery,Branch of anterior division of internal iliac artery
Right lateral thyrohyoid ligament,Lateral thyrohyoid ligament
Left superior nasal meatus,Superior nasal meatus
Inflow part of left atrium,Inflow part of atrium
Myocardium,Muscle body
Cavity of left auricle,Subdivision of cavity of cardiac chamber
Cavity of left atrium,Cavity of atrium
Cavity of cardiac chamber,Cavity of organ part
Epicardium,Region of visceral serous pericardium
Epicardium of right atrium,Epicardium of atrium
Cavity of left ventricle,Cavity of ventricle
Cavity of outflow part of left atrium,Subdivision of cavity of cardiac chamber
Nerve to eleventh external intercostal muscle,Muscular branch of eleventh intercostal nerve
Medial border of sphenoidal process of right palatine bone,Medial border of sphenoidal process of palatine bone
Right levator labii superioris,Levator labii superioris
Trunk of left first dorsal metacarpal artery,Trunk of first dorsal metacarpal artery
Stapedius nerve,Branch of facial nerve
Fossa for gallbladder,Hepatic impression
Medial lemniscus of medulla,Lemniscus of neuraxis
Hair of dorsum of left thumb,Hair of dorsum of thumb
Left saccular nerve,Saccular nerve
Lateral head of left gastrocnemius,Lateral head of gastrocnemius
T10 level,Thoracic vertebral level
Skin of upper outer quadrant of left breast,Skin of upper outer quadrant of breast
Proximal tendon of palmaris longus,Tendon of palmaris longus
Posterior surface of diaphysis of fibula,Subdivision of surface of diaphysis of fibula
Anterior branch of right axillary nerve,Anterior branch of axillary nerve
Seminal vesicle part of left inferior gluteal artery,Seminal vesicle part of inferior gluteal artery
Nipple,Region of breast
Nerve to left first external intercostal muscle,Nerve to first external intercostal muscle
Trunk of left supra-orbital artery,Trunk of supra-orbital artery
Compact bone of distal metaphysis of left femur,Compact bone of distal metaphysis of femur
Superficial branch of supra-orbital artery,Branch of supra-orbital artery
Lumican,Small leucine-rich proteoglycan
Tendon of psoas minor,Tendon of psoas muscle
Rubrospinal tract,Tract of brain
Isoform of alpha actinin,Alpha actinin
Late promyelocyte,Promyelocyte
Fascia of muscle,Membranous layer
