Child,Parent
Sedra Mehara,fort
Seguia Faraoun,fort
Septem,settlement
Septem,port
Septem Fratres Montes,mountain
Sidi Abderahim,settlement
Sidi Abdeslam,settlement
Si Ahmed Cherif,villa
Sidi Ahmed,unknown
Sidi Allal el Bahraoui,tumulus
Sidi Amar ben Azouz,fort
Sidi bou Hayel,settlement
Sidi el Mekki,villa
Sidi el Mekki,settlement-modern
Sidi el Mokffi,unknown
Sidi Embarek,fort
Sidi Hassine,fort
Sidi Kacem,villa
Sidi Larbi Boujema,settlement
Sidi Mbark,settlement
Sidi Mohammed ben Naseur,villa
Sidi Moussa,settlement
Sidi Said,settlement
Sidi Slimane,tumulus
Sokossioi,label
Sokossioi,people
Soloeis/Ampelusia Pr.,cape
Souk el Arba,settlement
Souk Jema el Haouafa,settlement
Sububus (river),river
Tabernae,fort
Taenia Longa?,cape
Tahadart,production
Tahadart,mine
Tamuda,settlement
Tamuda (river),river
Tamuda (river),mouth
Thamusida,fort-2
Thamusida,fortified-settlement
Thamusida,fort
Thamusida,settlement
Tingi,settlement
Tingi,port
Tocolosida,fort
Tremuli,station
Volubilis,settlement
Volubilis,archaeological-site
Zegrenses,label
Zegrenses,people
Zilia (river),river
Zilil/Zilis,settlement
Untitled,quarry
Untitled,road
Road Segment: Ad Mercuri → Oppidum Novum,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,feature
Untitled,feature
Untitled,feature
Untitled,settlement
Untitled,villa
Untitled,settlement
Untitled,villa
Rural settlement between Oppidum Novum and Arbaoua,settlement
Unnamed rural settlement near Tremuli,settlement
Unnamed rural settlement north of Souk el Arba,settlement
Untitled,feature
Untitled,fort-2
Untitled,settlement
Ad Mercurios,unlocated
Akra,unlocated
Anides (river),unlocated
Anides (river),river
Arambys,unlocated
Babba/Col. Iulia Campestris Babba/Castrabariensis,unlocated
Cobucla,unlocated
Dugas,unlocated
Emporikos Kolpos/Sagigi Sinus,water-open
Emporikos Kolpos/Sagigi Sinus,unlocated
Gilda/Silda,unlocated
Gontiana/Gentiano,unlocated
Hesperidum Horti,unlocated
Hesperioi,unlocated
Karikon Teichos,unlocated
Lissa,unlocated
Masaesyli,unlocated
Masaesyli,people
Mauritania Egel,unlocated
Mauritania Perosis/Mauritania Salinarum,unlocated
Melitta,unlocated
Mulelacha Pr.,unlocated
Nektiberes,unlocated
Ouobrix,unlocated
Pacatiana,unlocated
Pontion,unlocated
Pisciana,unlocated
Pyron Pedion,unlocated
Pyron Pedion,plain
Ad Dracones?,station
Ad Fratres?,station
Agueneb,temple-2
Ain Balloul,fort
Ain Bénia,villa
Ain bent es Soltane,villa
Ain ed Draham,settlement
Ain el Aneb,settlement
Ain el Bridj,settlement
Ain el Merselia,settlement
Ain Ouaba,settlement
Ain Sarb,villa
Ain Smir,fort
Ain Tekbalet,mine-2
Ain Tissemsil,fort
Ain Toukria,fort
Akra (island),island
Akouensioi?,label
Akouensioi?,people
Ala Miliaria/Tigit,settlement
Albulae/Praesidium Sufative,settlement
Altava,settlement
Ammi Moussa,villa
Aquae Sirenses,settlement
Argoub Rouiba,settlement
Ballene Praesidium,settlement
Bavares,label
Bavares,people
el Bayadh,fort
Camarata?,settlement
Canarii?,label
Canarii?,people
Castra Nova,settlement
Castra Puer(or)um,settlement
Cen(..)?,fort
Cohors Breucorum/Kaputurbe,fort
Columnata,settlement
Damous,settlement
Derrag,fort
Djebel Orousse,quarry
Djedars,temple-2
Dra el Remel,settlement
Dryitai?,label
Dryitai?,people
Eloulioi?,label
Eloulioi?,people
Error? (island),island
Fortassa,settlement
Gadaum Castra,settlement
Gent,settlement
Ghar Roubane,mine-2
Guetna,settlement
Hadjar Ouâghef,settlement
Herpeditanoi,label
Herpeditanoi,people
Inkermann,settlement
Isaris (river),river
Kansade,settlement
Kaputtasaccora,settlement
Kerkab,settlement
"Kh., see Kherba",unknown
el Khadra,fort
el Kherba,settlement
Kherba Achlef,settlement
Kherba des Aouissat,settlement
Kherba Oum el Adame,settlement
Koliaa,settlement
Koudiat en Nessera,settlement
Koudiat er Roum,settlement
Koudiat Lakdar,settlement
Koudiat M'rakab,tomb
Koudiat Sidi ben Beha,fort
Ksar el Kaoua,villa
Ksar el Kaoua,archaeological-site
Ksar Hannoun,settlement
Laturus Sinus,water-open
Lemnis?,settlement
Lucu,fort
Massaesylii?,label
Massaesylii?,people
Mauretania Caesariensis,province-2
